RateTypeDescription,StartDate,EndDate,ProfileReadValue
Usage,"4/1/2024 21:00",,0.118
Usage,"4/1/2024 21:30",,0.082
Usage,"4/1/2024 22:00",,0.093
Usage,"4/1/2024 22:30",,0.117
Usage,"4/1/2024 23:00",,1.410
Usage,"4/1/2024 23:30",,1.287
Usage,"5/1/2024 0:00",,1.527
Usage,"5/1/2024 0:30",,1.554
Usage,"5/1/2024 1:00",,1.266
Usage,"5/1/2024 1:30",,1.258
Usage,"5/1/2024 2:00",,1.268
Usage,"5/1/2024 2:30",,1.399
Usage,"5/1/2024 3:00",,1.480
Usage,"5/1/2024 3:30",,1.439
Usage,"5/1/2024 4:00",,1.292
Usage,"5/1/2024 4:30",,1.367
Usage,"5/1/2024 5:00",,0.083
Usage,"5/1/2024 5:30",,0.089
Usage,"5/1/2024 6:00",,0.568
Usage,"5/1/2024 6:30",,0.505
Usage,"5/1/2024 7:00",,0.606
Solar,"5/1/2024 7:00",,0.051
Usage,"5/1/2024 7:30",,0.610
Solar,"5/1/2024 7:30",,0.161
Usage,"5/1/2024 8:00",,0.650
Solar,"5/1/2024 8:00",,0.255
Usage,"5/1/2024 8:30",,0.535
Solar,"5/1/2024 8:30",,0.387
Usage,"5/1/2024 9:00",,0.127
Solar,"5/1/2024 9:00",,0.598
Usage,"5/1/2024 9:30",,0.136
Solar,"5/1/2024 9:30",,0.673
Usage,"5/1/2024 10:00",,0.103
Solar,"5/1/2024 10:00",,0.748
Usage,"5/1/2024 10:30",,0.106
Solar,"5/1/2024 10:30",,0.800
Usage,"5/1/2024 11:00",,0.119
Solar,"5/1/2024 11:00",,0.834
Usage,"5/1/2024 11:30",,0.124
Solar,"5/1/2024 11:30",,0.855
Usage,"5/1/2024 12:00",,0.112
Solar,"5/1/2024 12:00",,0.866
Usage,"5/1/2024 12:30",,0.135
Solar,"5/1/2024 12:30",,0.852
Usage,"5/1/2024 13:00",,0.104
Solar,"5/1/2024 13:00",,0.838
Usage,"5/1/2024 13:30",,0.142
Solar,"5/1/2024 13:30",,0.789
Usage,"5/1/2024 14:00",,0.135
Solar,"5/1/2024 14:00",,0.739
Usage,"5/1/2024 14:30",,0.121
Solar,"5/1/2024 14:30",,0.678
Usage,"5/1/2024 15:00",,0.084
Solar,"5/1/2024 15:00",,0.611
Usage,"5/1/2024 15:30",,0.138
Solar,"5/1/2024 15:30",,0.507
Usage,"5/1/2024 16:00",,0.083
Solar,"5/1/2024 16:00",,0.425
Usage,"5/1/2024 16:30",,0.117
Solar,"5/1/2024 16:30",,0.309
Usage,"5/1/2024 17:00",,0.679
Solar,"5/1/2024 17:00",,0.029
Usage,"5/1/2024 17:30",,0.776
Usage,"5/1/2024 18:00",,0.869
Usage,"5/1/2024 18:30",,0.871
Usage,"5/1/2024 19:00",,0.774
Usage,"5/1/2024 19:30",,0.672
Usage,"5/1/2024 20:00",,0.756
Usage,"5/1/2024 20:30",,0.860
Usage,"5/1/2024 21:00",,0.137
Usage,"5/1/2024 21:30",,0.094
Usage,"5/1/2024 22:00",,0.098
Usage,"5/1/2024 22:30",,0.117
Usage,"5/1/2024 23:00",,1.528
Usage,"5/1/2024 23:30",,1.431
Usage,"6/1/2024 0:00",,1.286
Usage,"6/1/2024 0:30",,1.416
Usage,"6/1/2024 1:00",,1.511
Usage,"6/1/2024 1:30",,1.420
Usage,"6/1/2024 2:00",,1.223
Usage,"6/1/2024 2:30",,1.557
Usage,"6/1/2024 3:00",,1.313
Usage,"6/1/2024 3:30",,1.460
Usage,"6/1/2024 4:00",,1.297
Usage,"6/1/2024 4:30",,1.369
Usage,"6/1/2024 5:00",,0.098
Usage,"6/1/2024 5:30",,0.102
Usage,"6/1/2024 6:00",,0.667
Usage,"6/1/2024 6:30",,0.647
Usage,"6/1/2024 7:00",,0.647
Solar,"6/1/2024 7:00",,0.039
Usage,"6/1/2024 7:30",,0.632
Solar,"6/1/2024 7:30",,0.155
Usage,"6/1/2024 8:00",,0.654
Solar,"6/1/2024 8:00",,0.254
Usage,"6/1/2024 8:30",,0.637
Solar,"6/1/2024 8:30",,0.357
Usage,"6/1/2024 9:00",,0.126
Solar,"6/1/2024 9:00",,0.599
Usage,"6/1/2024 9:30",,0.104
Solar,"6/1/2024 9:30",,0.683
Usage,"6/1/2024 10:00",,0.131
Solar,"6/1/2024 10:00",,0.740
Usage,"6/1/2024 10:30",,0.143
Solar,"6/1/2024 10:30",,0.789
Usage,"6/1/2024 11:00",,0.127
Solar,"6/1/2024 11:00",,0.831
Usage,"6/1/2024 11:30",,0.140
Solar,"6/1/2024 11:30",,0.850
Usage,"6/1/2024 12:00",,0.123
Solar,"6/1/2024 12:00",,0.863
Usage,"6/1/2024 12:30",,0.122
Solar,"6/1/2024 12:30",,0.856
Usage,"6/1/2024 13:00",,0.125
Solar,"6/1/2024 13:00",,0.832
Usage,"6/1/2024 13:30",,0.081
Solar,"6/1/2024 13:30",,0.807
Usage,"6/1/2024 14:00",,0.098
Solar,"6/1/2024 14:00",,0.750
Usage,"6/1/2024 14:30",,0.114
Solar,"6/1/2024 14:30",,0.680
Usage,"6/1/2024 15:00",,0.133
Solar,"6/1/2024 15:00",,0.597
Usage,"6/1/2024 15:30",,0.135
Solar,"6/1/2024 15:30",,0.508
Usage,"6/1/2024 16:00",,0.101
Solar,"6/1/2024 16:00",,0.420
Usage,"6/1/2024 16:30",,0.105
Solar,"6/1/2024 16:30",,0.313
Usage,"6/1/2024 17:00",,0.845
Usage,"6/1/2024 17:30",,0.964
Usage,"6/1/2024 18:00",,0.923
Usage,"6/1/2024 18:30",,0.875
Usage,"6/1/2024 19:00",,0.919
Usage,"6/1/2024 19:30",,0.948
Usage,"6/1/2024 20:00",,0.845
Usage,"6/1/2024 20:30",,0.869
Usage,"6/1/2024 21:00",,0.139
Usage,"6/1/2024 21:30",,0.086
Usage,"6/1/2024 22:00",,0.137
Usage,"6/1/2024 22:30",,0.081
Usage,"6/1/2024 23:00",,1.570
Usage,"6/1/2024 23:30",,1.562
Usage,"7/1/2024 0:00",,1.227
Usage,"7/1/2024 0:30",,1.363
Usage,"7/1/2024 1:00",,1.284
Usage,"7/1/2024 1:30",,1.503
Usage,"7/1/2024 2:00",,1.569
Usage,"7/1/2024 2:30",,1.333
Usage,"7/1/2024 3:00",,1.528
Usage,"7/1/2024 3:30",,1.364
Usage,"7/1/2024 4:00",,1.566
Usage,"7/1/2024 4:30",,1.431
Usage,"7/1/2024 5:00",,0.098
Usage,"7/1/2024 5:30",,0.109
Usage,"7/1/2024 6:00",,0.549
Usage,"7/1/2024 6:30",,0.512
Usage,"7/1/2024 7:00",,0.575
Solar,"7/1/2024 7:00",,0.060
Usage,"7/1/2024 7:30",,0.537
Solar,"7/1/2024 7:30",,0.183
Usage,"7/1/2024 8:00",,0.699
Solar,"7/1/2024 8:00",,0.240
Usage,"7/1/2024 8:30",,0.632
Solar,"7/1/2024 8:30",,0.358
Usage,"7/1/2024 9:00",,0.119
Solar,"7/1/2024 9:00",,0.601
Usage,"7/1/2024 9:30",,0.133
Solar,"7/1/2024 9:30",,0.674
Usage,"7/1/2024 10:00",,0.141
Solar,"7/1/2024 10:00",,0.737
Usage,"7/1/2024 10:30",,0.102
Solar,"7/1/2024 10:30",,0.801
Usage,"7/1/2024 11:00",,0.122
Solar,"7/1/2024 11:00",,0.833
Usage,"7/1/2024 11:30",,0.144
Solar,"7/1/2024 11:30",,0.849
Usage,"7/1/2024 12:00",,0.092
Solar,"7/1/2024 12:00",,0.872
Usage,"7/1/2024 12:30",,0.130
Solar,"7/1/2024 12:30",,0.853
Usage,"7/1/2024 13:00",,0.082
Solar,"7/1/2024 13:00",,0.845
Usage,"7/1/2024 13:30",,0.136
Solar,"7/1/2024 13:30",,0.791
Usage,"7/1/2024 14:00",,0.120
Solar,"7/1/2024 14:00",,0.743
Usage,"7/1/2024 14:30",,0.136
Solar,"7/1/2024 14:30",,0.673
Usage,"7/1/2024 15:00",,0.138
Solar,"7/1/2024 15:00",,0.595
Usage,"7/1/2024 15:30",,0.096
Solar,"7/1/2024 15:30",,0.519
Usage,"7/1/2024 16:00",,0.089
Solar,"7/1/2024 16:00",,0.423
Usage,"7/1/2024 16:30",,0.082
Solar,"7/1/2024 16:30",,0.320
Usage,"7/1/2024 17:00",,0.926
Usage,"7/1/2024 17:30",,0.753
Usage,"7/1/2024 18:00",,0.909
Usage,"7/1/2024 18:30",,0.850
Usage,"7/1/2024 19:00",,0.759
Usage,"7/1/2024 19:30",,0.877
Usage,"7/1/2024 20:00",,0.991
Usage,"7/1/2024 20:30",,0.941
Usage,"7/1/2024 21:00",,0.100
Usage,"7/1/2024 21:30",,0.094
Usage,"7/1/2024 22:00",,0.089
Usage,"7/1/2024 22:30",,0.084
Usage,"7/1/2024 23:00",,1.445
Usage,"7/1/2024 23:30",,1.524
Usage,"8/1/2024 0:00",,1.564
Usage,"8/1/2024 0:30",,1.219
Usage,"8/1/2024 1:00",,1.552
Usage,"8/1/2024 1:30",,1.506
Usage,"8/1/2024 2:00",,1.275
Usage,"8/1/2024 2:30",,1.233
Usage,"8/1/2024 3:00",,1.491
Usage,"8/1/2024 3:30",,1.262
Usage,"8/1/2024 4:00",,1.352
Usage,"8/1/2024 4:30",,1.322
Usage,"8/1/2024 5:00",,0.136
Usage,"8/1/2024 5:30",,0.117
Usage,"8/1/2024 6:00",,0.516
Usage,"8/1/2024 6:30",,0.685
Usage,"8/1/2024 7:00",,0.529
Solar,"8/1/2024 7:00",,0.074
Usage,"8/1/2024 7:30",,0.612
Solar,"8/1/2024 7:30",,0.161
Usage,"8/1/2024 8:00",,0.654
Solar,"8/1/2024 8:00",,0.254
Usage,"8/1/2024 8:30",,0.680
Solar,"8/1/2024 8:30",,0.344
Usage,"8/1/2024 9:00",,0.107
Solar,"8/1/2024 9:00",,0.604
Usage,"8/1/2024 9:30",,0.139
Solar,"8/1/2024 9:30",,0.672
Usage,"8/1/2024 10:00",,0.129
Solar,"8/1/2024 10:00",,0.741
Usage,"8/1/2024 10:30",,0.098
Solar,"8/1/2024 10:30",,0.802
Usage,"8/1/2024 11:00",,0.083
Solar,"8/1/2024 11:00",,0.844
Usage,"8/1/2024 11:30",,0.143
Solar,"8/1/2024 11:30",,0.849
Usage,"8/1/2024 12:00",,0.113
Solar,"8/1/2024 12:00",,0.866
Usage,"8/1/2024 12:30",,0.122
Solar,"8/1/2024 12:30",,0.856
Usage,"8/1/2024 13:00",,0.113
Solar,"8/1/2024 13:00",,0.836
Usage,"8/1/2024 13:30",,0.101
Solar,"8/1/2024 13:30",,0.801
Usage,"8/1/2024 14:00",,0.114
Solar,"8/1/2024 14:00",,0.745
Usage,"8/1/2024 14:30",,0.114
Solar,"8/1/2024 14:30",,0.680
Usage,"8/1/2024 15:00",,0.110
Solar,"8/1/2024 15:00",,0.604
Usage,"8/1/2024 15:30",,0.081
Solar,"8/1/2024 15:30",,0.523
Usage,"8/1/2024 16:00",,0.139
Solar,"8/1/2024 16:00",,0.408
Usage,"8/1/2024 16:30",,0.127
Solar,"8/1/2024 16:30",,0.306
Usage,"8/1/2024 17:00",,0.870
Usage,"8/1/2024 17:30",,0.758
Usage,"8/1/2024 18:00",,0.713
Usage,"8/1/2024 18:30",,0.721
Usage,"8/1/2024 19:00",,0.733
Usage,"8/1/2024 19:30",,0.693
Usage,"8/1/2024 20:00",,0.684
Usage,"8/1/2024 20:30",,0.731
Usage,"8/1/2024 21:00",,0.084
Usage,"8/1/2024 21:30",,0.090
Usage,"8/1/2024 22:00",,0.122
Usage,"8/1/2024 22:30",,0.127
Usage,"8/1/2024 23:00",,1.244
Usage,"8/1/2024 23:30",,1.396
Usage,"9/1/2024 0:00",,1.544
Usage,"9/1/2024 0:30",,1.462
Usage,"9/1/2024 1:00",,1.206
Usage,"9/1/2024 1:30",,1.450
Usage,"9/1/2024 2:00",,1.481
Usage,"9/1/2024 2:30",,1.270
Usage,"9/1/2024 3:00",,1.266
Usage,"9/1/2024 3:30",,1.319
Usage,"9/1/2024 4:00",,1.556
Usage,"9/1/2024 4:30",,1.472
Usage,"9/1/2024 5:00",,0.123
Usage,"9/1/2024 5:30",,0.106
Usage,"9/1/2024 6:00",,0.637
Usage,"9/1/2024 6:30",,0.616
Usage,"9/1/2024 7:00",,0.614
Solar,"9/1/2024 7:00",,0.049
Usage,"9/1/2024 7:30",,0.605
Solar,"9/1/2024 7:30",,0.163
Usage,"9/1/2024 8:00",,0.557
Solar,"9/1/2024 8:00",,0.283
Usage,"9/1/2024 8:30",,0.538
Solar,"9/1/2024 8:30",,0.386
Usage,"9/1/2024 9:00",,0.105
Solar,"9/1/2024 9:00",,0.605
Usage,"9/1/2024 9:30",,0.129
Solar,"9/1/2024 9:30",,0.675
Usage,"9/1/2024 10:00",,0.102
Solar,"9/1/2024 10:00",,0.749
Usage,"9/1/2024 10:30",,0.123
Solar,"9/1/2024 10:30",,0.794
Usage,"9/1/2024 11:00",,0.110
Solar,"9/1/2024 11:00",,0.836
Usage,"9/1/2024 11:30",,0.104
Solar,"9/1/2024 11:30",,0.861
Usage,"9/1/2024 12:00",,0.105
Solar,"9/1/2024 12:00",,0.869
Usage,"9/1/2024 12:30",,0.092
Solar,"9/1/2024 12:30",,0.865
Usage,"9/1/2024 13:00",,0.096
Solar,"9/1/2024 13:00",,0.841
Usage,"9/1/2024 13:30",,0.131
Solar,"9/1/2024 13:30",,0.792
Usage,"9/1/2024 14:00",,0.133
Solar,"9/1/2024 14:00",,0.740
Usage,"9/1/2024 14:30",,0.120
Solar,"9/1/2024 14:30",,0.678
Usage,"9/1/2024 15:00",,0.125
Solar,"9/1/2024 15:00",,0.599
Usage,"9/1/2024 15:30",,0.110
Solar,"9/1/2024 15:30",,0.515
Usage,"9/1/2024 16:00",,0.144
Solar,"9/1/2024 16:00",,0.407
Usage,"9/1/2024 16:30",,0.134
Solar,"9/1/2024 16:30",,0.304
Usage,"9/1/2024 17:00",,0.766
Solar,"9/1/2024 17:00",,0.003
Usage,"9/1/2024 17:30",,0.841
Usage,"9/1/2024 18:00",,0.656
Usage,"9/1/2024 18:30",,0.662
Usage,"9/1/2024 19:00",,0.866
Usage,"9/1/2024 19:30",,0.694
Usage,"9/1/2024 20:00",,0.756
Usage,"9/1/2024 20:30",,0.802
Usage,"9/1/2024 21:00",,0.104
Usage,"9/1/2024 21:30",,0.139
Usage,"9/1/2024 22:00",,0.148
Usage,"9/1/2024 22:30",,0.128
Usage,"9/1/2024 23:00",,1.248
Usage,"9/1/2024 23:30",,1.386
Usage,"10/1/2024 0:00",,1.236
Usage,"10/1/2024 0:30",,1.386
Usage,"10/1/2024 1:00",,1.306
Usage,"10/1/2024 1:30",,1.477
Usage,"10/1/2024 2:00",,1.464
Usage,"10/1/2024 2:30",,1.234
Usage,"10/1/2024 3:00",,1.531
Usage,"10/1/2024 3:30",,1.539
Usage,"10/1/2024 4:00",,1.468
Usage,"10/1/2024 4:30",,1.303
Usage,"10/1/2024 5:00",,0.089
Usage,"10/1/2024 5:30",,0.113
Usage,"10/1/2024 6:00",,0.693
Usage,"10/1/2024 6:30",,0.649
Usage,"10/1/2024 7:00",,0.521
Solar,"10/1/2024 7:00",,0.077
Usage,"10/1/2024 7:30",,0.507
Solar,"10/1/2024 7:30",,0.192
Usage,"10/1/2024 8:00",,0.563
Solar,"10/1/2024 8:00",,0.281
Usage,"10/1/2024 8:30",,0.585
Solar,"10/1/2024 8:30",,0.373
Usage,"10/1/2024 9:00",,0.128
Solar,"10/1/2024 9:00",,0.598
Usage,"10/1/2024 9:30",,0.121
Solar,"10/1/2024 9:30",,0.678
Usage,"10/1/2024 10:00",,0.139
Solar,"10/1/2024 10:00",,0.738
Usage,"10/1/2024 10:30",,0.092
Solar,"10/1/2024 10:30",,0.804
Usage,"10/1/2024 11:00",,0.115
Solar,"10/1/2024 11:00",,0.835
Usage,"10/1/2024 11:30",,0.093
Solar,"10/1/2024 11:30",,0.864
Usage,"10/1/2024 12:00",,0.120
Solar,"10/1/2024 12:00",,0.864
Usage,"10/1/2024 12:30",,0.131
Solar,"10/1/2024 12:30",,0.853
Usage,"10/1/2024 13:00",,0.129
Solar,"10/1/2024 13:00",,0.830
Usage,"10/1/2024 13:30",,0.131
Solar,"10/1/2024 13:30",,0.792
Usage,"10/1/2024 14:00",,0.146
Solar,"10/1/2024 14:00",,0.736
Usage,"10/1/2024 14:30",,0.108
Solar,"10/1/2024 14:30",,0.682
Usage,"10/1/2024 15:00",,0.118
Solar,"10/1/2024 15:00",,0.601
